,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,LeBron James,28,MIA,120,1207,1210,0.998
1,Kevin Durant,24,OKC,0,765,1210,0.632
2,Carmelo Anthony,28,NYK,1,475,1210,0.393
3,Chris Paul,27,LAC,0,289,1210,0.239
4,Kobe Bryant,34,LAL,0,184,1210,0.152
5,Tony Parker,30,SAS,0,86,1210,0.071
6,Tim Duncan,36,SAS,0,65,1210,0.054
7,James Harden,23,HOU,0,33,1210,0.027
8,Russell Westbrook,24,OKC,0,9,1210,0.007
9,Dwyane Wade,31,MIA,0,5,1210,0.004
10,Stephen Curry,24,GSW,0,3,1210,0.002
11,Kevin Garnett,36,BOS,0,1,1210,0.001
12,Marc Gasol,28,MEM,0,1,1210,0.001
13,Ty Lawson,25,DEN,0,1,1210,0.001
14,David Lee,29,GSW,0,1,1210,0.001
15,Joakim Noah,27,CHI,0,1,1210,0.001
