Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Chicago Bulls,81.71,87.8,75.61,83.93,76.92,81.25,82.35,46.67,91.67
2,Cleveland Cavaliers,69.51,85.37,53.66,75.0,57.69,68.89,70.27,55.0,78.12
3,Portland Trail Blazers,69.51,80.49,58.54,71.43,68.52,69.57,69.44,37.5,77.5
4,Golden State Warriors,67.07,75.61,58.54,67.86,66.67,65.91,68.42,53.85,69.44
5,Utah Jazz,67.07,90.24,43.9,64.29,68.52,63.27,72.73,60.0,77.5
6,Phoenix Suns,64.63,87.8,41.46,67.86,62.96,66.67,61.76,36.36,74.36
7,Boston Celtics,62.2,82.93,41.46,62.5,61.54,60.87,63.89,77.78,66.67
8,New York Knicks,62.2,73.17,51.22,60.71,65.38,65.22,58.33,42.86,65.79
9,Detroit Pistons,58.54,60.98,56.1,55.36,65.38,58.33,58.82,50.0,65.79
10,San Antonio Spurs,57.32,75.61,39.02,46.43,62.96,58.7,55.56,38.46,68.29
11,Seattle SuperSonics,57.32,68.29,46.34,46.43,62.96,50.0,67.65,57.14,63.33
12,Los Angeles Clippers,54.88,70.73,39.02,57.14,53.7,46.81,65.71,73.33,51.22
13,Los Angeles Lakers,52.44,58.54,46.34,57.14,50.0,60.87,41.67,70.59,52.63
14,Houston Rockets,51.22,68.29,34.15,57.14,48.15,53.19,48.57,66.67,34.29
15,Indiana Pacers,48.78,63.41,34.15,48.21,50.0,39.58,61.76,28.57,61.11
16,New Jersey Nets,48.78,60.98,36.59,51.79,42.31,40.43,60.0,63.64,40.62
17,Miami Heat,46.34,68.29,24.39,48.21,42.31,47.92,44.12,50.0,38.1
18,Atlanta Hawks,46.34,56.1,36.59,41.07,57.69,51.06,40.0,41.18,46.34
19,Philadelphia 76ers,42.68,56.1,29.27,41.07,46.15,48.94,34.29,50.0,50.0
20,Charlotte Hornets,37.8,53.66,21.95,37.5,38.46,29.79,48.57,40.0,32.5
21,Milwaukee Bucks,37.8,60.98,14.63,39.29,34.62,47.83,25.0,50.0,46.15
22,Sacramento Kings,35.37,51.22,19.51,42.86,31.48,34.04,37.14,47.06,21.05
23,Washington Bullets,30.49,34.15,26.83,26.79,38.46,34.78,25.0,27.27,29.27
24,Denver Nuggets,29.27,43.9,14.63,35.71,25.93,36.96,19.44,33.33,22.92
25,Dallas Mavericks,26.83,36.59,17.07,25.0,27.78,27.66,25.71,50.0,13.64
26,Orlando Magic,25.61,31.71,19.51,28.57,19.23,25.0,26.47,72.73,15.56
27,Minnesota Timberwolves,18.29,21.95,14.63,14.29,20.37,17.39,19.44,26.67,9.76
